name,ref_id
Asia/Kathmandu,278
Asia/Katmandu,279
Asia/Khandyga,280
Asia/Kolkata,281
Asia/Krasnoyarsk,282
Asia/Kuala_Lumpur,283
Asia/Kuching,284
Asia/Kuwait,285
Asia/Macao,286
Asia/Macau,287
Asia/Magadan,288
Asia/Makassar,289
Asia/Manila,290
Asia/Muscat,291
Asia/Novokuznetsk,292
Asia/Novosibirsk,293
Asia/Omsk,294
Asia/Oral,295
Asia/Phnom_Penh,296
Asia/Pontianak,297
Asia/Pyongyang,298
Asia/Qatar,299
Asia/Qyzylorda,300
Asia/Rangoon,301
Asia/Riyadh,302
Asia/Saigon,303
Asia/Sakhalin,304
Asia/Samarkand,305
Asia/Seoul,306
Asia/Shanghai,307
Asia/Singapore,308
Asia/Srednekolymsk,309
Asia/Taipei,310
Asia/Tashkent,311
Asia/Tbilisi,312
Asia/Tehran,313
Asia/Tel_Aviv,314
Asia/Thimbu,315
Asia/Thimphu,316
Asia/Tokyo,317
Asia/Tomsk,318
Asia/Ujung_Pandang,319
Asia/Ulaanbaatar,320
Asia/Ulan_Bator,321
Asia/Urumqi,322
Asia/Ust-Nera,323
Asia/Vientiane,324
Asia/Vladivostok,325
Asia/Yakutsk,326
Asia/Yangon,327
Asia/Yekaterinburg,328
Asia/Yerevan,329
Atlantic/Azores,330
Atlantic/Bermuda,331
Atlantic/Canary,332
Atlantic/Cape_Verde,333
Atlantic/Faeroe,334
Atlantic/Faroe,335
Atlantic/Jan_Mayen,336
Atlantic/Madeira,337
Atlantic/Reykjavik,338
Atlantic/South_Georgia,339
Atlantic/St_Helena,340
Atlantic/Stanley,341
Australia/ACT,342
Australia/Adelaide,343
Australia/Brisbane,344
Australia/Broken_Hill,345
Australia/Canberra,346
Australia/Currie,347
Australia/Darwin,348
Australia/Eucla,349
Australia/Hobart,350
Australia/LHI,351
Australia/Lindeman,352
Australia/Lord_Howe,353
Australia/Melbourne,354
Australia/North,355
Australia/NSW,356
Australia/Perth,357
Australia/Queensland,358
Australia/South,359
Australia/Sydney,360
Australia/Tasmania,361
Australia/Victoria,362
Australia/West,363
Australia/Yancowinna,364
Brazil/Acre,365
Brazil/DeNoronha,366
Brazil/East,367
Brazil/West,368
Canada/Atlantic,369
Canada/Central,370
Canada/Eastern,371
Canada/Mountain,372
Canada/Newfoundland,373
Canada/Pacific,374
Canada/Saskatchewan,375
Canada/Yukon,376
CET,377
Chile/Continental,378
Chile/EasterIsland,379
CST6CDT,380
Cuba,381
EET,382
Egypt,383
Eire,384
EST,385
EST5EDT,386
Etc/GMT,387
Etc/GMT+0,388
Etc/GMT+1,389
Etc/GMT+10,390
Etc/GMT+11,391
Etc/GMT+12,392
Etc/GMT+2,393
Etc/GMT+3,394
Etc/GMT+4,395
Etc/GMT+5,396
Etc/GMT+6,397
Etc/GMT+7,398
Etc/GMT+8,399
Etc/GMT+9,400
Etc/GMT0,401
Etc/GMT-0,402
Etc/GMT-1,403
Etc/GMT-10,404
Etc/GMT-11,405
Etc/GMT-12,406
Etc/GMT-13,407
Etc/GMT-14,408
Etc/GMT-2,409
Etc/GMT-3,410
Etc/GMT-4,411
Etc/GMT-5,412
Etc/GMT-6,413
Etc/GMT-7,414
Etc/GMT-8,415
Etc/GMT-9,416
Etc/Greenwich,417
Etc/UCT,418
Etc/Universal,419
Etc/UTC,420
Etc/Zulu,421
Europe/Amsterdam,422
Europe/Andorra,423
Europe/Astrakhan,424
Europe/Athens,425
Europe/Belfast,426
Europe/Belgrade,427
Europe/Berlin,428
Europe/Bratislava,429
Europe/Brussels,430
Europe/Bucharest,431
Europe/Budapest,432
Europe/Busingen,433
Europe/Chisinau,434
Europe/Copenhagen,435
Europe/Dublin,436
Europe/Gibraltar,437
Europe/Guernsey,438
Europe/Helsinki,439
Europe/Isle_of_Man,440
Europe/Istanbul,441
Europe/Jersey,442
Europe/Kaliningrad,443
Europe/Kiev,444
Europe/Kirov,445
Europe/Lisbon,446
Europe/Ljubljana,447
Europe/London,448
Europe/Luxembourg,449
Europe/Madrid,450
Europe/Malta,451
Europe/Mariehamn,452
Europe/Minsk,453
Europe/Monaco,454
Europe/Moscow,455
Asia/Nicosia,456
Europe/Oslo,457
Europe/Paris,458
Europe/Podgorica,459
Europe/Prague,460
Europe/Riga,461
Europe/Rome,462
Europe/Samara,463
Europe/San_Marino,464
Europe/Sarajevo,465
Europe/Saratov,466
Europe/Simferopol,467
Europe/Skopje,468
Europe/Sofia,469
Europe/Stockholm,470
Europe/Tallinn,471
Europe/Tirane,472
Europe/Tiraspol,473
Europe/Ulyanovsk,474
Europe/Uzhgorod,475
Europe/Vaduz,476
Europe/Vatican,477
Europe/Vienna,478
Europe/Vilnius,479
Europe/Volgograd,480
Europe/Warsaw,481
Europe/Zagreb,482
Europe/Zaporozhye,483
Europe/Zurich,484
GB,485
GB-Eire,486
GMT,487
GMT+0,488
GMT0,489
GMT-0,490
Greenwich,491
Hongkong,492
HST,493
Iceland,494
Indian/Antananarivo,495
Indian/Chagos,496
Indian/Christmas,497
Indian/Cocos,498
Indian/Comoro,499
Indian/Kerguelen,500
Indian/Mahe,501
Indian/Maldives,502
Indian/Mauritius,503
Indian/Mayotte,504
Indian/Reunion,505
Iran,506
Israel,507
Jamaica,508
Japan,509
Kwajalein,510
Libya,511
MET,512
Mexico/BajaNorte,513
Mexico/BajaSur,514
Mexico/General,515
MST,516
MST7MDT,517
Navajo,518
NZ,519
NZ-CHAT,520
Pacific/Apia,521
Pacific/Auckland,522
Pacific/Bougainville,523
Pacific/Chatham,524
Pacific/Chuuk,525
Pacific/Easter,526
Pacific/Efate,527
Pacific/Enderbury,528
Pacific/Fakaofo,529
Pacific/Fiji,530
Pacific/Funafuti,531
Pacific/Galapagos,532
Pacific/Gambier,533
Pacific/Guadalcanal,534
Pacific/Guam,535
Pacific/Honolulu,536
Pacific/Johnston,537
Pacific/Kiritimati,538
Pacific/Kosrae,539
Pacific/Kwajalein,540
Pacific/Majuro,541
Pacific/Marquesas,542
Pacific/Midway,543
Pacific/Nauru,544
Pacific/Niue,545
Pacific/Norfolk,546
Pacific/Noumea,547
Pacific/Pago_Pago,548
Pacific/Palau,549
Pacific/Pitcairn,550
Pacific/Pohnpei,551
Pacific/Ponape,552
Pacific/Port_Moresby,553
Pacific/Rarotonga,554
Pacific/Saipan,555
Pacific/Samoa,556
Pacific/Tahiti,557
Pacific/Tarawa,558
Pacific/Tongatapu,559
Pacific/Truk,560
Pacific/Wake,561
Pacific/Wallis,562
Pacific/Yap,563
Poland,564
Portugal,565
PRC,566
PST8PDT,567
ROC,568
ROK,569
Singapore,570
Turkey,571
UCT,572
Universal,573
US/Alaska,574
US/Aleutian,575
US/Arizona,576
US/Central,577
US/Eastern,578
US/East-Indiana,579
US/Hawaii,580
US/Indiana-Starke,581
US/Michigan,582
US/Mountain,583
US/Pacific,584
US/Pacific-New,585
US/Samoa,586
UTC,587
WET,588
W-SU,589
Zulu,590

